name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kansas,2013-10-19,17.9,-0.1,7.9,17.9,-1.8,7.3,1.3,68.5,0,0,0,,,,37.1,23.1,232.2,1015.9,6.8,15.4,190.1,16.4,7,,2013-10-19T07:36:32,2013-10-19T18:38:00,0.5,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-20,22,5.8,12.9,22,4,12.4,4.5,60.2,0,0,0,,,,35.5,19.3,262.2,1010.7,9.2,15.9,135.9,11.7,5,,2013-10-20T07:37:34,2013-10-20T18:36:37,0.52,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-21,13.8,4.2,9.7,13.8,1.4,8.5,1,56.6,0,0,0,,,,38.9,23.8,258.1,1018.2,25.3,16,182.5,15.9,7,,2013-10-21T07:38:37,2013-10-21T18:35:16,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-22,17.1,5.1,10.8,17.1,3.3,10,3.2,61,0,0,0,,,,55.5,31.5,246.3,1015.7,25.2,16,180.8,15.5,7,,2013-10-22T07:39:39,2013-10-22T18:33:55,0.56,Partially cloudy,Partly cloudy throughout the day.,wind,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-23,12.9,-0.1,6.2,12.9,-1.9,5.5,1.1,71.8,0,0,0,,,,27.7,13,199.4,1020.4,31.2,15.8,167.3,14.5,7,,2013-10-23T07:40:42,2013-10-23T18:32:35,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-24,10.8,0.9,6.2,10.8,0.9,4.7,-0.9,63.7,0,0,0,,,,38.9,18.5,212.6,1028,28.2,16,178.5,15.4,7,,2013-10-24T07:41:46,2013-10-24T18:31:17,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-25,14.2,-2.3,6,14.2,-2.3,5.6,-2.9,58.6,0,0,0,,,,37.1,24.3,122.9,1028.5,6.2,15.3,180.7,15.7,7,,2013-10-25T07:42:50,2013-10-25T18:29:59,0.69,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-26,16.8,3.6,9.9,16.8,3.6,9.3,1.2,57.7,0,0,0,,,,31.8,22.3,268.7,1021,0,16,181.2,15.7,7,,2013-10-26T07:43:54,2013-10-26T18:28:43,0.73,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-27,18.8,-2.3,7.8,18.8,-2.3,7.7,-1.4,58.7,0,0,0,,,,37.1,21.7,191,1017.8,1.8,14.8,181.5,15.7,7,,2013-10-27T07:44:58,2013-10-27T18:27:28,0.78,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-10-28,15.9,2.9,9.5,15.9,0.7,9,5.1,74.6,0,0,0,,,,,20.4,104.2,1018.6,9.9,15.5,140.2,12.2,6,,2013-10-28T07:46:03,2013-10-28T18:26:14,0.83,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
